id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Display resolution;Panel type;Display type;Aspect Ratio;Display refresh rate [Hz];Luminosity [Nits];Colour coverage and certification;Processor type;AMD processor generation;Processor model number;Number of processor cores;Processor frequency [GHz];Core boost frequency [GHz];TDP [W];Cache processor [MB];CPU features;Size of operational RAM [GB];Memory type;Memory frequency [MHz];Number of installed slots;Total number of slots;Graphics card type;Graphics card brand;Model graphics cards;Operating system;Storage Type;Storage capacity [GB];Drive interfaces;SSD capacity [GB];Number of occupied slots M.2;Slots in total M.2;Equipment;Webcam;USB-C charging;Charging connector;Battery capacity [Wh];Charging power [W];Maximum battery capacity [h];Construction material;Convertibility;Colour;Weight [kg];Data;Graphical output ports;Network;Audio;USB-C;USB 3.2 Gen 1 (USB 3.0);Bluetooth;WiFi;WiFi version;Optical drive;Width [mm];Maximum height [mm];Depth [mm];Keyboard language;Laptop Series;Certification;Extended warranty;Package includes;Country;Special event;Intel processor generation;Graphics card memory [GB];Maximum Graphic Power (TGP) [W];Boost clock [MHz];"Number of occupied slots 2.5""";"Slots in total 2.5""";Number of cells;Thunderbolt / USB 4;USB 3.2 Gen 2;Standby time [h];Lease;Processor model;USB 2.0;Number of free slots;Number of stream processors;GPU Passmark;HDD capacity [GB];Other interfaces;USB 3.2 Gen 2x2;Intel Optane [GB]
1208;Acer Aspire 5 14 Steel Gray kovový;27990.0;23132.0;;;In stock > 5 pcs;14.0;1920 × 1200 p× px;IPS;Anti-Glare;16:10;60.0;;['45% NTSC'];Intel Core i7;;Intel Core i7 1355U Raptor Lake;10.0;1.2;5.0;15.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];32.0;DDR4;;2.0;2.0;['Dedicated'];NVIDIA GeForce;RTX 2050;['Windows 11 Home'];['SSD'];1000.0;PCIe NVMe;1000.0;1.0;1.0;['Backlit keyboard', 'Fingerprint Reader', 'Operating system'];1080 p;Can be charged via USB-C;;50.0;90.0;11.0;['Metal', 'Plastic'];Rigid (classic laptop);['Grey'];1.48;Thunderbolt 4;HDMI, USB-C;;['Combo Audio Jack'];1.0;2.0;Bluetooth v5.2;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;318.2;17.8;225.5;['CZ', 'SK'];Acer Aspire;['Windows 11 compatible'];['No extended warranty'];['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Raptor Lake (13th generation);4.0;;;;;3.0;;;;;;;;;;;;;
1209;"Macbook Pro 16"" M1 PRO CZ 2021 Silver";61581.0;50893.0;4.0;4.0;As good as new;16.2;3456 × 2234 p× px;Liquid Retina XDR;Glossy;16:10;120.0;1.0;;Apple Silicon;;Apple M1 PRO;10.0;;;;;;16.0;;;;;['Integrated'];Apple;M1 PRO 16-core GPU;['macOS'];['SSD'];1000.0;;1000.0;;;['Backlit keyboard', 'Fingerprint Reader', 'Memory Card Reader', 'Operating system'];1080 p;Can be charged via USB-C;;;;21.0;['All-metal (unibody)'];Rigid (classic laptop);;2.1;USB-C, Thunderbolt 4;HDMI, USB-C;;;3.0;;Bluetooth v5.0;['WiFi 802.11ax (6GHz)'];WiFi 6;Without Optical Drive;355.7;16.8;248.1;['CZ'];Apple MacBook Pro;;;;;;;;;;;;;;;;;M1 PRO;;;;;;;;
1210;Lenovo IdeaPad 5 Pro 16ARH7 Cloud Grey all-metal (záruka na 3 roky po registraci);30199.0;24958.0;;;In stock > 5 pcs;16.0;2560 × 1600 p× px;IPS;Anti-Glare;16:10;120.0;350.0;['100% DCI-P3'];AMD Ryzen 7;Zen 3+ (6th generation);AMD Ryzen 7 6800HS;8.0;3.2;4.7;35.0;16.0;['Automatic Overclocking', 'Virtualization Support'];16.0;LPDDR5;6.4;;;['Dedicated'];NVIDIA GeForce;RTX 3050;['Windows 11 Home'];['SSD'];1000.0;PCIe NVMe;1000.0;1.0;1.0;['Backlit keyboard', 'Memory Card Reader', 'Operating system', 'TPM 2.0', 'Windows Hello'];1080 p;Can be charged via USB-C;Lenovo Slim Tip;75.0;135.0;13.57;['All-metal (unibody)'];Rigid (classic laptop);['Silver'];1.95;USB-C;HDMI, USB-C;;['Combo Audio Jack'];1.0;2.0;Bluetooth v5.1;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;356.0;16.9;251.0;['CZ', 'SK'];Lenovo IdeaPad;['TÜV Low Blue Light'];['No extended warranty'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];Digital student SK;;4.0;;;;;;;;;;;;;;;;;;
1211;Lenovo Gaming L340-15IRH, Gradient Blue;16890.0;13959.0;;;As good as new;15.6;1920 × 1080 p× px;TN;Anti-Glare;16:9;;250.0;;Intel Core i5;;Intel Core i5 9300H Coffee Lake;4.0;2.4;4.1;45.0;8.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR4;2.4;1.0;1.0;['Gaming'];NVIDIA GeForce;GTX 1650;['Windows 10 Home'];['SSD'];512.0;M.2;512.0;;;['Backlit keyboard', 'Numeric keyboard', 'Operating system'];720 p;;;;;9.0;;Rigid (classic laptop);['Blue'];2.2;;HDMI;;['Combo Audio Jack'];1.0;2.0;Bluetooth v4.2;['WiFi 802.11ac'];WiFi 5;Without Optical Drive;363.0;23.9;254.6;['CZ', 'SK'];Lenovo IdeaPad Gaming;;;;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Coffee Lake (9th generation);4.0;;;;;;;;;;;;;;;;;;
1212;Dell Inspiron 16 Plus (7620);40590.0;33545.0;;;In stock > 5 pcs;16.0;3072 × 1920 p× px;WVA;Matte;16:10;60.0;300.0;['100% sRGB'];Intel Core i7;;Intel Core i7 12700H Alder Lake;14.0;3.5;4.7;45.0;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR5;4.8;2.0;2.0;['Gaming'];NVIDIA GeForce;RTX 3060;['Windows 11 Home'];['SSD'];1000.0;M.2;1000.0;1.0;1.0;['Backlit keyboard', 'Fingerprint Reader', 'Memory Card Reader', 'Operating system', 'TPM 2.0'];1080 p;Can be charged via USB-C;4.5/2.9mm;86.0;130.0;;;Rigid (classic laptop);['Green'];2.11;Thunderbolt 4;HDMI, USB-C;;['Combo Audio Jack'];;2.0;Bluetooth v5.2;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;356.78;18.99;251.9;['CZ', 'SK'];Dell Inspiron;;['On-site'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];Digital student SK;Alder Lake (12th generation);6.0;60.0;;;;6.0;1.0;;;;;;;;;;;;
1213;Lenovo Legion 5P-15IMH05H Iron Grey;21991.0;18174.0;;;Slightly used;15.6;1920 × 1080 p× px;IPS;Anti-Glare;16:9;144.0;300.0;;Intel Core i7;;Intel Core i7 10750H Comet Lake;6.0;2.6;5.0;45.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR4;2.933;2.0;2.0;['Gaming'];NVIDIA GeForce;RTX 2060;['Windows 10 Home'];['SSD'];1000.0;PCIe NVMe;1000.0;;;['Backlit keyboard', 'Numeric keyboard'];;No charging via USB-C;;60.0;;5.0;;Rigid (classic laptop);['Grey'];2.3;USB-C;HDMI;['RJ-45 (LAN)'];['Combo Audio Jack'];1.0;4.0;Bluetooth v5.0;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;363.06;23.57;259.61;['CZ', 'SK'];Lenovo Legion;;;;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Comet Lake (10th generation);6.0;;;;;4.0;;;;;;;;;;;;;
1214;Dell XPS 15 9530 + Microsoft Office 365 na 1 rok zdarma;79990.0;66107.0;;;In stock > 5 pcs at the partner's;15.6;1920 × 1200 p× px;WVA;Anti-Glare;16:10;60.0;500.0;['100% sRGB'];Intel Core i9;;Intel Core i9 13900H Raptor Lake;14.0;1.9;5.4;45.0;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];32.0;DDR5;4.8;2.0;2.0;['Dedicated'];NVIDIA GeForce;RTX 4070;['Windows 11 Pro'];['SSD'];1000.0;PCIe NVMe;1000.0;1.0;2.0;['Backlit keyboard', 'Fingerprint Reader', 'Memory Card Reader', 'Operating system', 'TPM 2.0'];720 p;Can be charged via USB-C;USB-C;86.0;130.0;;['Metal', 'Carbon fibres'];Rigid (classic laptop);['Silver'];1.92;USB-C, Thunderbolt 4;USB-C;;['Combo Audio Jack'];1.0;;Bluetooth v5.2;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;344.72;18.0;230.14;['CZ', 'SK'];Dell XPS;['Windows 11 compatible'];['On-site'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Raptor Lake (13th generation);8.0;115.0;2.175;;;6.0;2.0;;;;;;;;;;;;
1215;Lenovo Legion 7 16ACHg6;42990.0;35529.0;3.7;3.0;Unsealed;16.0;2560 × 1600 p× px;IPS;Anti-Glare;16:10;165.0;500.0;;AMD Ryzen 7;Zen 3 (5th generation);AMD Ryzen 7 5800H;8.0;3.2;4.4;45.0;16.0;['Automatic Overclocking', 'Virtualization Support'];32.0;DDR4;3.2;2.0;2.0;['Gaming'];NVIDIA GeForce;RTX 3070;['Windows 10 Home'];['SSD'];1000.0;;1000.0;1.0;;['Numeric keyboard', 'Operating system', 'RGB backlit keyboard'];720 p;No charging via USB-C;Lenovo Slim Tip;80.0;300.0;8.0;;Rigid (classic laptop);['Black'];2.5;USB-C;HDMI;['RJ-45 (LAN)'];['Combo Audio Jack'];3.0;;Bluetooth v5.1;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;356.0;23.5;261.04;['CZ', 'SK'];Lenovo Legion;['Windows 11 compatible'];['Next Business Day'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;8.0;140.0;1.62;0.0;0.0;4.0;;;;;;;;5.12;;;;;
1216;HP ZBook Studio 16 G9 5 let ONSITE servis;124990.0;103298.0;;;In stock 2 pcs;16.0;3840 × 2400 p× px;IPS;Anti-Glare;16:10;120.0;500.0;;Intel Core i7;;Intel Core i7 12800H Alder Lake;14.0;1.8;4.8;45.0;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];64.0;DDR5;4800.0;2.0;2.0;['Gaming'];NVIDIA GeForce;RTX 3080 Ti;['Windows 11 Pro'];['SSD'];2000.0;PCIe NVMe;2000.0;1.0;1.0;['Backlit keyboard', 'Fingerprint Reader', 'Memory Card Reader', 'Operating system', 'TPM 2.0', 'Windows Hello'];720 p;Can be charged via USB-C;USB-C;86.0;200.0;;['All-metal (unibody)'];Rigid (classic laptop);['Grey'];1.73;USB-C, Thunderbolt 4;USB-C;;['Combo Audio Jack'];1.0;1.0;Bluetooth v5.2;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;356.0;19.0;242.0;['CZ', 'SK'];HP ZBook;['Windows 11 compatible'];;['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Alder Lake (12th generation);16.0;;;;;6.0;2.0;;;;;;;;;;;;
1217;Lenovo Legion 7 15IMHg05, Slate Grey;33990.0;28091.0;4.0;2.0;Unsealed;15.6;1920 × 1080 p× px;IPS;Anti-Glare;16:9;144.0;300.0;;Intel Core i7;;Intel Core i7 10875H Comet Lake;8.0;2.3;5.1;45.0;16.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR4;3.2;2.0;2.0;['Gaming'];NVIDIA GeForce;RTX 2070 Max-Q;['Windows 10 Home'];['SSD'];1000.0;PCIe NVMe;1000.0;;;['Backlit keyboard', 'Numeric keyboard'];720 p;No charging via USB-C;;80.0;;8.0;;Rigid (classic laptop);['Black'];2.25;USB-C, Thunderbolt 3;HDMI;['RJ-45 (LAN)'];['Combo Audio Jack'];2.0;1.0;Bluetooth v5.0;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;359.34;19.9;259.04;['CZ', 'SK'];Lenovo Legion;;['Next Business Day'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Comet Lake (10th generation);8.0;;;;;4.0;;2.0;;;;;;;;;;;
1218;Microsoft Surface Pro 9 2022 8GB 256GB Graphite for business;34190.0;28256.0;;;In stock 1 pcs at the partner's;13.0;2880 × 1920 p× px;;Glossy;3:2;;450.0;;Intel Core i5;;Intel Core i5 1245U Alder Lake;10.0;;4.4;55.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;LPDDR5;;;;['Integrated'];Intel;Iris Xe Graphics;['Windows 11 Pro'];['SSD'];256.0;;256.0;;;['Touch display', 'Stylus support', 'Operating system', 'TPM 2.0', 'Windows Hello'];1080 p;No charging via USB-C;MS Surface 6-pin;47.7;;15.5;['All-metal (unibody)'];Detachable;['Grey'];0.88;Thunderbolt 4;;;;;;Bluetooth v5.1;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;209.0;9.3;287.0;;Microsoft Surface;['Intel EVO'];;['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Alder Lake (12th generation);;;;;;;2.0;;;;;;;;;;;;
1219;Lenovo Legion 7 15IMHg05 Slate Grey Metallic;27990.0;23132.0;;;As good as new;15.6;1920 × 1080 p× px;IPS;Anti-Glare;16:9;144.0;500.0;;Intel Core i7;;Intel Core i7 10875H Comet Lake;8.0;2.3;5.1;45.0;16.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR4;3.2;2.0;2.0;['Gaming'];NVIDIA GeForce;RTX 2070 Super Max-Q;['Windows 10 Home'];['SSD'];1000.0;PCIe NVMe;1000.0;;;['Backlit keyboard', 'Numeric keyboard'];720 p;No charging via USB-C;Lenovo Slim Tip;80.0;;8.0;['Metal', 'Plastic'];Rigid (classic laptop);['Black'];2.25;USB-C, Thunderbolt 3;HDMI;['RJ-45 (LAN)'];['Combo Audio Jack'];1.0;1.0;Bluetooth v5.0;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;359.34;19.9;259.04;['CZ', 'SK'];Lenovo Legion;;['Next Business Day'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Comet Lake (10th generation);8.0;;;;;;;;;;;;;;;;;;
1220;HP EliteBook 840 G10  3 roky ONSITE servis;40090.0;33132.0;;;In stock > 5 pcs at the partner's;14.0;1920 × 1200 p× px;IPS;Anti-Glare;16:10;60.0;400.0;;Intel Core i7;;Intel Core i7 1360P Raptor Lake;12.0;1.6;5.0;28.0;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR5;4.8;1.0;2.0;['Integrated'];Intel;Iris Xe Graphics;['Windows 11 Pro'];['SSD'];512.0;PCIe NVMe;512.0;1.0;1.0;['Fingerprint Reader', 'Operating system', 'TPM 2.0'];1920 p;Can be charged via USB-C;USB-C;51.0;65.0;13.5;;Rigid (classic laptop);['Silver'];1.36;Thunderbolt 4;HDMI, USB-C;['5G modem'];['Combo Audio Jack'];;2.0;Bluetooth v5.3;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;315.6;19.2;224.0;;;['TÜV Low Blue Light', 'Windows 11 compatible'];;['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Raptor Lake (13th generation);;;;;;3.0;2.0;;;;;;;;;;;;
1221;Lenovo Legion 5 Pro 16IAH7H Storm Grey Metallic;30790.0;25446.0;4.8;5.0;As good as new;16.0;2560 × 1600 p× px;IPS;Anti-Glare;16:10;165.0;500.0;;Intel Core i5;;Intel Core i5 12500H Alder Lake;12.0;2.5;4.5;45.0;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR5;4.8;2.0;2.0;['Gaming'];NVIDIA GeForce;RTX 3060;['Windows 11 Home'];['SSD'];1000.0;PCIe NVMe;1000.0;1.0;2.0;['Numeric keyboard', 'Operating system', 'MUX Switch', 'TPM 2.0', 'RGB backlit keyboard'];720 p;Can be charged via USB-C;Lenovo Slim Tip;80.0;300.0;6.55;['Metal', 'Plastic'];Rigid (classic laptop);['Grey'];2.4;USB-C, Thunderbolt 4;HDMI, USB-C;['RJ-45 (LAN)'];['Combo Audio Jack'];2.0;3.0;Bluetooth v5.1;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;356.0;26.6;260.4;['CZ', 'SK'];Lenovo Legion;;['No extended warranty'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Alder Lake (12th generation);6.0;140.0;1.702;;;;1.0;;;;;;;;;;;;
1222;Dell Precision 3470;33690.0;27843.0;;;In stock 2 pcs at the partner's;14.0;1920 × 1080 p× px;WVA;Anti-Glare;16:9;60.0;250.0;['45% NTSC'];Intel Core i7;;Intel Core i7 1260P Alder Lake;12.0;2.1;4.7;28.0;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR5;4.8;1.0;2.0;['Dedicated'];NVIDIA Quadro;T550;['Windows 10 Pro'];['SSD'];512.0;M.2;512.0;1.0;1.0;['Backlit keyboard', 'Operating system', 'TPM 2.0', 'Windows Hello', 'Smart card reader'];1080 p;Can be charged via USB-C;USB-C;64.0;130.0;;;Rigid (classic laptop);['Grey'];1.49;Thunderbolt 4;HDMI;['RJ-45 (LAN)'];['Combo Audio Jack'];;2.0;Bluetooth v5.2;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;321.35;23.6;212.0;['CZ', 'SK'];Dell Precision;;['On-site'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];Digital student SK;Alder Lake (12th generation);4.0;;;;;4.0;2.0;;;;;;;;;;;;
1223;Lenovo Legion 7 16ACHg6;37990.0;31397.0;3.7;3.0;As good as new;16.0;2560 × 1600 p× px;IPS;Anti-Glare;16:10;165.0;500.0;;AMD Ryzen 7;Zen 3 (5th generation);AMD Ryzen 7 5800H;8.0;3.2;4.4;45.0;16.0;['Automatic Overclocking', 'Virtualization Support'];32.0;DDR4;3.2;2.0;2.0;['Gaming'];NVIDIA GeForce;RTX 3070;['Windows 10 Home'];['SSD'];1000.0;;1000.0;1.0;;['Numeric keyboard', 'Operating system', 'RGB backlit keyboard'];720 p;No charging via USB-C;Lenovo Slim Tip;80.0;300.0;8.0;;Rigid (classic laptop);['Black'];2.5;USB-C;HDMI;['RJ-45 (LAN)'];['Combo Audio Jack'];3.0;;Bluetooth v5.1;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;356.0;23.5;261.04;['CZ', 'SK'];Lenovo Legion;['Windows 11 compatible'];['Next Business Day'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;8.0;140.0;1.62;0.0;0.0;4.0;;;;;;;;5.12;;;;;
1224;Dell XPS 15 9530 Touch + Microsoft Office 365 na 1 rok zdarma;86890.0;71810.0;;;In stock 1 pcs;15.6;3456 × 2160 p× px;OLED;Anti-Glare;16:10;60.0;400.0;['100% DCI-P3'];Intel Core i9;;Intel Core i9 13900H Raptor Lake;14.0;1.9;5.4;45.0;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];32.0;DDR5;4.8;2.0;2.0;['Dedicated'];NVIDIA GeForce;RTX 4070;['Windows 11 Home'];['SSD'];1000.0;PCIe NVMe;1000.0;1.0;2.0;['Backlit keyboard', 'Touch display', 'Fingerprint Reader', 'Memory Card Reader', 'Operating system', 'TPM 2.0', 'Windows Hello'];720 p;Can be charged via USB-C;USB-C;86.0;130.0;;;Rigid (classic laptop);['Silver'];1.96;Thunderbolt 4;USB-C;;['Combo Audio Jack'];1.0;;Bluetooth v5.2;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;344.72;18.0;230.14;['CZ', 'SK'];Dell XPS;['Windows 11 compatible'];['On-site'];['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Raptor Lake (13th generation);8.0;115.0;2.175;0.0;0.0;6.0;2.0;;;;;;;;;;;;
1225;Lenovo Legion Y740-15IRHg Black Metal;29490.0;24372.0;4.8;10.0;As good as new;15.6;1920 × 1080 p× px;IPS;Anti-Glare;16:9;144.0;500.0;;Intel Core i7;;Intel Core i7 9750H Coffee Lake;6.0;2.6;4.5;45.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR4;2.666;;;['Gaming'];NVIDIA GeForce;RTX 2070 Max-Q;['Windows 10 Home'];['SSD'];1000.0;M.2;1000.0;;;['Backlit keyboard', 'Operating system'];720 p;No charging via USB-C;Lenovo Slim Tip;57.0;;;;Rigid (classic laptop);;2.3;;HDMI, Mini DisplayPortA smaller version of the digital graphic output, suitable for transmitting uncompressed digital content.;['RJ-45 (LAN)'];;1.0;;Bluetooth v5.0;['WiFi 802.11ac'];WiFi 5;Without Optical Drive;365.0;24.2;260.0;['CZ', 'SK'];Lenovo Legion;;;;;;Coffee Lake (9th generation);8.0;;;;;3.0;;;;No;;;;;;;;;
1226;Lenovo ThinkPad E16 Gen 1 Black;23590.0;19496.0;;;In stock > 5 pcs;16.0;1920 × 1200 p× px;IPS;Anti-Glare;16:10;60.0;300.0;['45% NTSC'];Intel Core i5;;Intel Core i5 1335U Raptor Lake;10.0;0.9;4.6;15.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR4;3.2;1.0;1.0;['Dedicated'];NVIDIA GeForce;MX550;['Windows 11 Pro'];['SSD'];512.0;PCIe NVMe;512.0;1.0;2.0;['Backlit keyboard', 'Fingerprint Reader', 'Operating system', 'TrackPoint', 'TPM 2.0', 'Windows Hello'];1080 p;Can be charged via USB-C;USB-C;57.0;65.0;;['Metal', 'Plastic'];Rigid (classic laptop);['Black'];1.81;USB-C, Thunderbolt 4;HDMI, USB-C;['RJ-45 (LAN)'];['Combo Audio Jack'];1.0;2.0;Bluetooth v5.1;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;356.1;19.85;247.7;['CZ', 'SK'];Lenovo ThinkPad E;['TÜV Low Blue Light', 'Windows 11 compatible', 'MIL-STD-810H'];['On-site'];['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Raptor Lake (13th generation);2.0;25.0;1.32;0.0;0.0;;1.0;;;;;1.0;;;;;;;
1227;Lenovo Legion 5 15ACH6A Stingray/Dove Grey (záruka na 3 roky po registraci);28989.0;23958.0;5.0;3.0;In stock 4 pcs;15.6;2560 × 1440 p× px;IPS;Anti-Glare;16:9;165.0;300.0;['100% DCI-P3'];AMD Ryzen 5;Zen 3 (5th generation);AMD Ryzen 5 5600H;6.0;3.3;4.2;15.0;16.0;['Automatic Overclocking', 'Virtualization Support'];16.0;DDR4;3.2;2.0;2.0;['Gaming'];AMD Radeon RX;6600M;['Windows 11 Home'];['SSD'];1000.0;PCIe NVMe;1000.0;1.0;2.0;['Backlit keyboard', 'Numeric keyboard', 'Operating system', 'TPM 2.0'];720 p;Can be charged via USB-C;Lenovo Slim Tip;80.0;230.0;10.4;['Plastic'];Rigid (classic laptop);['White'];2.4;USB-C;HDMI, USB-C;['RJ-45 (LAN)'];['Combo Audio Jack'];2.0;4.0;Bluetooth v5.1;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;362.56;25.75;260.61;['CZ', 'SK'];Lenovo Legion;['Windows 11 compatible'];['No extended warranty'];['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;8.0;;;0.0;0.0;;;;;;;;;;;;;;
1228;Lenovo ThinkPad E16 Gen 1 Graphite Black;23990.0;19826.0;;;In stock > 5 pcs;16.0;1920 × 1200 p× px;IPS;Anti-Glare;16:10;60.0;300.0;['45% NTSC'];AMD Ryzen 7;Zen 3 (5th generation);AMD Ryzen 7 7730U;8.0;2.0;4.5;15.0;16.0;['Automatic Overclocking', 'Virtualization Support'];16.0;DDR4;3.2;2.0;2.0;['Integrated'];AMD Radeon;Graphics;['Windows 11 Pro'];['SSD'];512.0;PCIe NVMe;512.0;1.0;2.0;['Backlit keyboard', 'Fingerprint Reader', 'Operating system', 'TPM 2.0', 'Windows Hello'];1080 p;Can be charged via USB-C;USB-C;57.0;65.0;;['Metal', 'Plastic'];Rigid (classic laptop);['Black'];1.81;USB-C;HDMI, USB-C;['RJ-45 (LAN)'];['Combo Audio Jack'];2.0;2.0;Bluetooth v5.1;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;356.1;19.85;247.5;['CZ', 'SK'];Lenovo ThinkPad E;['TÜV Low Blue Light', 'Windows 11 compatible', 'MIL-STD-810H'];['On-site'];['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;0.0;0.0;;;;;;;;;;;;;;
1229;Lenovo IdeaPad Gaming 3 15IAH7 Onyx Grey (záruka na 3 roky po registraci);17989.0;14867.0;4.0;1.0;In stock 3 pcs;15.6;1920 × 1080 p× px;IPS;Anti-Glare;16:9;120.0;250.0;['45% NTSC'];Intel Core i5;;Intel Core i5 12450H Alder Lake;8.0;1.5;4.4;95.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;DDR4;3.2;1.0;2.0;['Gaming'];NVIDIA GeForce;RTX 3050;['Without Operating System'];['SSD'];512.0;PCIe NVMe;512.0;1.0;2.0;['Backlit keyboard', 'Numeric keyboard', 'TPM 2.0'];720 p;Can be charged via USB-C;Lenovo Slim Tip;60.0;170.0;7.7;['Plastic'];Rigid (classic laptop);['Black'];2.31;Thunderbolt 4;HDMI, USB-C;['RJ-45 (LAN)'];['Combo Audio Jack'];;2.0;Bluetooth v5.1;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;359.6;21.8;266.4;['CZ', 'SK'];Lenovo IdeaPad Gaming;;['No extended warranty'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Alder Lake (12th generation);4.0;85.0;1.74;0.0;0.0;;1.0;;;;;;;;;;;;
